a,b,rule,flags
22,14,2.1,map_symbol_reviewed;reviewed;printed_map_review
29,14,2.1,map_symbol_reviewed;reviewed;printed_map_review
10,15,2.1,map_symbol_reviewed;reviewed;printed_map_review
14,15,2.1,map_symbol_reviewed;reviewed;printed_map_review
29,22,2.1,map_symbol_reviewed;reviewed;printed_map_review
28,29,2.1,map_symbol_reviewed;reviewed;printed_map_review
23,22,2.1,map_symbol_reviewed;reviewed;printed_map_review
28,23,2.1,map_symbol_reviewed;reviewed;printed_map_review
28,40,2.1,map_symbol_reviewed;reviewed;printed_map_review
36,28,2.1,map_symbol_reviewed;reviewed;printed_map_review
30,36,2.1,map_symbol_reviewed;reviewed;printed_map_review
23,25,2.1,map_symbol_reviewed;reviewed;printed_map_review
43,25,2.1,map_symbol_reviewed;reviewed;printed_map_review
27,23,2.1,map_symbol_reviewed;reviewed;printed_map_review
37,27,2.1,map_symbol_reviewed;reviewed;printed_map_review
12,3,2.1,map_symbol_reviewed;reviewed;printed_map_review
13,2,2.1,map_symbol_reviewed;reviewed;printed_map_review
8,4,2.1,map_symbol_reviewed;reviewed;printed_map_review
16,17,2.1,map_symbol_reviewed;reviewed;printed_map_review
35,17,2.1,map_symbol_reviewed;reviewed;printed_map_review
1,41,2.1,map_symbol_reviewed;reviewed;printed_map_review
32,41,2.1,map_symbol_reviewed;reviewed;printed_map_review
45,58,2.1,map_symbol_reviewed;reviewed;printed_map_review
41,45,2.1,map_symbol_reviewed;reviewed;printed_map_review
58,41,2.1,map_symbol_reviewed;reviewed;printed_map_review
19,58,2.1,map_symbol_reviewed;reviewed;printed_map_review
36,46,2.1,map_symbol_reviewed;reviewed;printed_map_review
30,46,2.1,map_symbol_reviewed;reviewed;printed_map_review
44,46,2.1,map_symbol_reviewed;reviewed;printed_map_review
30,44,2.1,map_symbol_reviewed;reviewed;printed_map_review
58,49,2.1,map_symbol_reviewed;reviewed;printed_map_review
44,58,2.1,map_symbol_reviewed;reviewed;printed_map_review
49,44,2.1,map_symbol_reviewed;reviewed;printed_map_review
52,58,2.1,map_symbol_reviewed;reviewed;printed_map_review
45,52,2.1,map_symbol_reviewed;reviewed;printed_map_review
49,52,2.1,map_symbol_reviewed;reviewed;printed_map_review
37,70,2.1,map_symbol_reviewed;reviewed;printed_map_review
59,37,2.1,map_symbol_reviewed;reviewed;printed_map_review
70,61,2.1,map_symbol_reviewed;reviewed;printed_map_review
63,61,2.1,map_symbol_reviewed;reviewed;printed_map_review
69,64,2.1,map_symbol_reviewed;reviewed;printed_map_review
69,68,2.1,map_symbol_reviewed;reviewed;printed_map_review
63,64,2.1,map_symbol_reviewed;reviewed;printed_map_review
59,63,2.1,map_symbol_reviewed;reviewed;printed_map_review
70,59,2.1,map_symbol_reviewed;reviewed;printed_map_review
60,61,2.1,map_symbol_reviewed;reviewed;printed_map_review
70,60,2.1,map_symbol_reviewed;reviewed;printed_map_review
88,60,2.1,map_symbol_reviewed;reviewed;printed_map_review
61,69,2.1,map_symbol_reviewed;reviewed;printed_map_review
64,295,2.1,map_symbol_reviewed;reviewed;printed_map_review
71,64,2.1,map_symbol_reviewed;reviewed;printed_map_review
65,71,2.1,map_symbol_reviewed;reviewed;printed_map_review
296,65,2.1,map_symbol_reviewed;reviewed;printed_map_review
283,297,2.1,map_symbol_reviewed;reviewed;printed_map_review
65,62,2.1,map_symbol_reviewed;reviewed;printed_map_review
26,62,2.1,map_symbol_reviewed;reviewed;printed_map_review
297,26,2.1,map_symbol_reviewed;reviewed;printed_map_review
299,26,2.1,map_symbol_reviewed;reviewed;printed_map_review
297,298,2.1,map_symbol_reviewed;reviewed;printed_map_review
299,298,2.1,map_symbol_reviewed;reviewed;printed_map_review
282,299,2.1,map_symbol_reviewed;reviewed;printed_map_review
284,298,2.1,map_symbol_reviewed;reviewed;printed_map_review
277,281,2.1,map_symbol_reviewed;reviewed;printed_map_review
66,300,2.1,map_symbol_reviewed;reviewed;printed_map_review
62,66,2.1,map_symbol_reviewed;reviewed;printed_map_review
67,65,2.1,map_symbol_reviewed;reviewed;printed_map_review
66,67,2.1,map_symbol_reviewed;reviewed;printed_map_review
68,67,2.1,map_symbol_reviewed;reviewed;printed_map_review
301,68,2.1,map_symbol_reviewed;reviewed;printed_map_review
56,72,2.1,map_symbol_reviewed;reviewed;printed_map_review
88,72,2.1,map_symbol_reviewed;reviewed;printed_map_review
56,60,2.1,map_symbol_reviewed;reviewed;printed_map_review
76,56,2.1,map_symbol_reviewed;reviewed;printed_map_review
46,76,2.1,map_symbol_reviewed;reviewed;printed_map_review
88,74,2.1,map_symbol_reviewed;reviewed;printed_map_review
72,87,2.1,map_symbol_reviewed;reviewed;printed_map_review
74,87,2.1,map_symbol_reviewed;reviewed;printed_map_review
44,54,2.1,map_symbol_reviewed;reviewed;printed_map_review
76,54,2.1,map_symbol_reviewed;reviewed;printed_map_review
49,78,2.1,map_symbol_reviewed;reviewed;printed_map_review
55,78,2.1,map_symbol_reviewed;reviewed;printed_map_review
52,55,2.1,map_symbol_reviewed;reviewed;printed_map_review
48,52,2.1,map_symbol_reviewed;reviewed;printed_map_review
55,48,2.1,map_symbol_reviewed;reviewed;printed_map_review
45,48,2.1,map_symbol_reviewed;reviewed;printed_map_review
47,48,2.1,map_symbol_reviewed;reviewed;printed_map_review
42,47,2.1,map_symbol_reviewed;reviewed;printed_map_review
47,51,2.1,map_symbol_reviewed;reviewed;printed_map_review
53,51,2.1,map_symbol_reviewed;reviewed;printed_map_review
50,53,2.1,map_symbol_reviewed;reviewed;printed_map_review
80,48,2.1,map_symbol_reviewed;reviewed;printed_map_review
79,55,2.1,map_symbol_reviewed;reviewed;printed_map_review
80,79,2.1,map_symbol_reviewed;reviewed;printed_map_review
77,78,2.1,map_symbol_reviewed;reviewed;printed_map_review
54,78,2.1,map_symbol_reviewed;reviewed;printed_map_review
84,54,2.1,map_symbol_reviewed;reviewed;printed_map_review
84,57,2.1,map_symbol_reviewed;reviewed;printed_map_review
54,57,2.1,map_symbol_reviewed;reviewed;printed_map_review
76,57,2.1,map_symbol_reviewed;reviewed;printed_map_review
89,57,2.1,map_symbol_reviewed;reviewed;printed_map_review
84,75,2.1,map_symbol_reviewed;reviewed;printed_map_review
89,75,2.1,map_symbol_reviewed;reviewed;printed_map_review
77,84,2.1,map_symbol_reviewed;reviewed;printed_map_review
87,89,2.1,map_symbol_reviewed;reviewed;printed_map_review
74,102,2.1,map_symbol_reviewed;reviewed;printed_map_review
80,55,2.1,map_symbol_reviewed;reviewed;printed_map_review
79,77,2.1,map_symbol_reviewed;reviewed;printed_map_review
75,103,2.1,map_symbol_reviewed;reviewed;printed_map_review
91,103,2.1,map_symbol_reviewed;reviewed;printed_map_review
86,77,2.1,map_symbol_reviewed;reviewed;printed_map_review
79,86,2.1,map_symbol_reviewed;reviewed;printed_map_review
81,86,2.1,map_symbol_reviewed;reviewed;printed_map_review
79,81,2.1,map_symbol_reviewed;reviewed;printed_map_review
80,81,2.1,map_symbol_reviewed;reviewed;printed_map_review
92,86,2.1,map_symbol_reviewed;reviewed;printed_map_review
91,86,2.1,map_symbol_reviewed;reviewed;printed_map_review
96,91,2.1,map_symbol_reviewed;reviewed;printed_map_review
92,96,2.1,map_symbol_reviewed;reviewed;printed_map_review
97,103,2.1,map_symbol_reviewed;reviewed;printed_map_review
119,103,2.1,map_symbol_reviewed;reviewed;printed_map_review
98,89,2.1,map_symbol_reviewed;reviewed;printed_map_review
119,98,2.1,map_symbol_reviewed;reviewed;printed_map_review
103,89,2.1,map_symbol_reviewed;reviewed;printed_map_review
111,87,2.1,map_symbol_reviewed;reviewed;printed_map_review
102,111,2.1,map_symbol_reviewed;reviewed;printed_map_review
115,102,2.1,map_symbol_reviewed;reviewed;printed_map_review
116,115,2.1,map_symbol_reviewed;reviewed;printed_map_review
102,116,2.1,map_symbol_reviewed;reviewed;printed_map_review
114,116,2.1,map_symbol_reviewed;reviewed;printed_map_review
98,111,2.1,map_symbol_reviewed;reviewed;printed_map_review
114,98,2.1,map_symbol_reviewed;reviewed;printed_map_review
118,114,2.1,map_symbol_reviewed;reviewed;printed_map_review
98,118,2.1,map_symbol_reviewed;reviewed;printed_map_review
119,118,2.1,map_symbol_reviewed;reviewed;printed_map_review
117,118,2.1,map_symbol_reviewed;reviewed;printed_map_review
114,117,2.1,map_symbol_reviewed;reviewed;printed_map_review
116,117,2.1,map_symbol_reviewed;reviewed;printed_map_review
113,116,2.1,map_symbol_reviewed;reviewed;printed_map_review
115,101,2.1,map_symbol_reviewed;reviewed;printed_map_review
112,101,2.1,map_symbol_reviewed;reviewed;printed_map_review
113,112,2.1,map_symbol_reviewed;reviewed;printed_map_review
101,104,2.1,map_symbol_reviewed;reviewed;printed_map_review
109,104,2.1,map_symbol_reviewed;reviewed;printed_map_review
106,109,2.1,map_symbol_reviewed;reviewed;printed_map_review
107,106,2.1,map_symbol_reviewed;reviewed;printed_map_review
108,106,2.1,map_symbol_reviewed;reviewed;printed_map_review
302,108,2.1,map_symbol_reviewed;reviewed;printed_map_review
105,108,2.1,map_symbol_reviewed;reviewed;printed_map_review
112,108,2.1,map_symbol_reviewed;reviewed;printed_map_review
124,105,2.1,map_symbol_reviewed;reviewed;printed_map_review
112,124,2.1,map_symbol_reviewed;reviewed;printed_map_review
113,124,2.1,map_symbol_reviewed;reviewed;printed_map_review
110,124,2.1,map_symbol_reviewed;reviewed;printed_map_review
129,110,2.1,map_symbol_reviewed;reviewed;printed_map_review
124,129,2.1,map_symbol_reviewed;reviewed;printed_map_review
99,117,2.1,map_symbol_reviewed;reviewed;printed_map_review
126,99,2.1,map_symbol_reviewed;reviewed;printed_map_review
129,126,2.1,map_symbol_reviewed;reviewed;printed_map_review
122,117,2.1,map_symbol_reviewed;reviewed;printed_map_review
118,122,2.1,map_symbol_reviewed;reviewed;printed_map_review
119,120,2.1,map_symbol_reviewed;reviewed;printed_map_review
118,120,2.1,map_symbol_reviewed;reviewed;printed_map_review
97,309,2.1,map_symbol_reviewed;reviewed;printed_map_review
120,309,2.1,map_symbol_reviewed;reviewed;printed_map_review
96,307,2.1,map_symbol_reviewed;reviewed;printed_map_review
309,307,2.1,map_symbol_reviewed;reviewed;printed_map_review
96,97,2.1,map_symbol_reviewed;reviewed;printed_map_review
92,93,2.1,map_symbol_reviewed;reviewed;printed_map_review
306,96,2.1,map_symbol_reviewed;reviewed;printed_map_review
93,306,2.1,map_symbol_reviewed;reviewed;printed_map_review
81,94,2.1,map_symbol_reviewed;reviewed;printed_map_review
93,94,2.1,map_symbol_reviewed;reviewed;printed_map_review
95,90,2.1,map_symbol_reviewed;reviewed;printed_map_review
93,90,2.1,map_symbol_reviewed;reviewed;printed_map_review
306,90,2.1,map_symbol_reviewed;reviewed;printed_map_review
307,306,2.1,map_symbol_reviewed;reviewed;printed_map_review
308,307,2.1,map_symbol_reviewed;reviewed;printed_map_review
306,308,2.1,map_symbol_reviewed;reviewed;printed_map_review
309,310,2.1,map_symbol_reviewed;reviewed;printed_map_review
308,310,2.1,map_symbol_reviewed;reviewed;printed_map_review
120,311,2.1,map_symbol_reviewed;reviewed;printed_map_review
310,311,2.1,map_symbol_reviewed;reviewed;printed_map_review
122,311,2.1,map_symbol_reviewed;reviewed;printed_map_review
123,122,2.1,map_symbol_reviewed;reviewed;printed_map_review
126,123,2.1,map_symbol_reviewed;reviewed;printed_map_review
312,311,2.1,map_symbol_reviewed;reviewed;printed_map_review
128,312,2.1,map_symbol_reviewed;reviewed;printed_map_review
125,128,2.1,map_symbol_reviewed;reviewed;printed_map_review
127,125,2.1,map_symbol_reviewed;reviewed;printed_map_review
126,125,2.1,map_symbol_reviewed;reviewed;printed_map_review
127,130,2.1,map_symbol_reviewed;reviewed;printed_map_review
129,130,2.1,map_symbol_reviewed;reviewed;printed_map_review
126,127,2.1,map_symbol_reviewed;reviewed;printed_map_review
130,132,2.1,map_symbol_reviewed;reviewed;printed_map_review
110,132,2.1,map_symbol_reviewed;reviewed;printed_map_review
105,132,2.1,map_symbol_reviewed;reviewed;printed_map_review
134,132,2.1,map_symbol_reviewed;reviewed;printed_map_review
382,90,2.1,map_symbol_reviewed;reviewed;printed_map_review
375,95,2.1,map_symbol_reviewed;reviewed;printed_map_review
382,375,2.1,map_symbol_reviewed;reviewed;printed_map_review
306,382,2.1,map_symbol_reviewed;reviewed;printed_map_review
381,306,2.1,map_symbol_reviewed;reviewed;printed_map_review
308,381,2.1,map_symbol_reviewed;reviewed;printed_map_review
380,308,2.1,map_symbol_reviewed;reviewed;printed_map_review
382,381,2.1,map_symbol_reviewed;reviewed;printed_map_review
379,382,2.1,map_symbol_reviewed;reviewed;printed_map_review
381,380,2.1,map_symbol_reviewed;reviewed;printed_map_review
379,381,2.1,map_symbol_reviewed;reviewed;printed_map_review
310,380,2.1,map_symbol_reviewed;reviewed;printed_map_review
352,310,2.1,map_symbol_reviewed;reviewed;printed_map_review
312,352,2.1,map_symbol_reviewed;reviewed;printed_map_review
349,352,2.1,map_symbol_reviewed;reviewed;printed_map_review
380,352,2.1,map_symbol_reviewed;reviewed;printed_map_review
351,352,2.1,map_symbol_reviewed;reviewed;printed_map_review
378,380,2.1,map_symbol_reviewed;reviewed;printed_map_review
379,374,2.1,map_symbol_reviewed;reviewed;printed_map_review
382,374,2.1,map_symbol_reviewed;reviewed;printed_map_review
375,85,2.1,map_symbol_reviewed;reviewed;printed_map_review
83,375,2.1,map_symbol_reviewed;reviewed;printed_map_review
95,83,2.1,map_symbol_reviewed;reviewed;printed_map_review
303,83,2.1,map_symbol_reviewed;reviewed;printed_map_review
121,303,2.1,map_symbol_reviewed;reviewed;printed_map_review
85,121,2.1,map_symbol_reviewed;reviewed;printed_map_review
83,85,2.1,map_symbol_reviewed;reviewed;printed_map_review
374,85,2.1,map_symbol_reviewed;reviewed;printed_map_review
390,85,2.1,map_symbol_reviewed;reviewed;printed_map_review
121,390,2.1,map_symbol_reviewed;reviewed;printed_map_review
374,390,2.1,map_symbol_reviewed;reviewed;printed_map_review
304,121,2.1,map_symbol_reviewed;reviewed;printed_map_review
305,304,2.1,map_symbol_reviewed;reviewed;printed_map_review
388,305,2.1,map_symbol_reviewed;reviewed;printed_map_review
121,388,2.1,map_symbol_reviewed;reviewed;printed_map_review
390,388,2.1,map_symbol_reviewed;reviewed;printed_map_review
389,390,2.1,map_symbol_reviewed;reviewed;printed_map_review
376,374,2.1,map_symbol_reviewed;reviewed;printed_map_review
379,376,2.1,map_symbol_reviewed;reviewed;printed_map_review
373,383,2.1,map_symbol_reviewed;reviewed;printed_map_review
305,383,2.1,map_symbol_reviewed;reviewed;printed_map_review
388,383,2.1,map_symbol_reviewed;reviewed;printed_map_review
386,388,2.1,map_symbol_reviewed;reviewed;printed_map_review
387,388,2.1,map_symbol_reviewed;reviewed;printed_map_review
389,387,2.1,map_symbol_reviewed;reviewed;printed_map_review
391,389,2.1,map_symbol_reviewed;reviewed;printed_map_review
392,389,2.1,map_symbol_reviewed;reviewed;printed_map_review
376,392,2.1,map_symbol_reviewed;reviewed;printed_map_review
377,378,2.1,map_symbol_reviewed;reviewed;printed_map_review
376,377,2.1,map_symbol_reviewed;reviewed;printed_map_review
351,378,2.1,map_symbol_reviewed;reviewed;printed_map_review
350,351,2.1,map_symbol_reviewed;reviewed;printed_map_review
349,348,2.1,map_symbol_reviewed;reviewed;printed_map_review
100,349,2.1,map_symbol_reviewed;reviewed;printed_map_review
128,100,2.1,map_symbol_reviewed;reviewed;printed_map_review
313,100,2.1,map_symbol_reviewed;reviewed;printed_map_review
125,313,2.1,map_symbol_reviewed;reviewed;printed_map_review
348,313,2.1,map_symbol_reviewed;reviewed;printed_map_review
314,348,2.1,map_symbol_reviewed;reviewed;printed_map_review
313,314,2.1,map_symbol_reviewed;reviewed;printed_map_review
347,348,2.1,map_symbol_reviewed;reviewed;printed_map_review
350,348,2.1,map_symbol_reviewed;reviewed;printed_map_review
347,350,2.1,map_symbol_reviewed;reviewed;printed_map_review
377,393,2.1,map_symbol_reviewed;reviewed;printed_map_review
392,393,2.1,map_symbol_reviewed;reviewed;printed_map_review
394,393,2.1,map_symbol_reviewed;reviewed;printed_map_review
350,394,2.1,map_symbol_reviewed;reviewed;printed_map_review
395,394,2.1,map_symbol_reviewed;reviewed;printed_map_review
346,395,2.1,map_symbol_reviewed;reviewed;printed_map_review
347,346,2.1,map_symbol_reviewed;reviewed;printed_map_review
344,346,2.1,map_symbol_reviewed;reviewed;printed_map_review
347,344,2.1,map_symbol_reviewed;reviewed;printed_map_review
314,344,2.1,map_symbol_reviewed;reviewed;printed_map_review
315,314,2.1,map_symbol_reviewed;reviewed;printed_map_review
343,344,2.1,map_symbol_reviewed;reviewed;printed_map_review
315,316,2.1,map_symbol_reviewed;reviewed;printed_map_review
315,330,2.1,map_symbol_reviewed;reviewed;printed_map_review
317,316,2.1,map_symbol_reviewed;reviewed;printed_map_review
318,317,2.1,map_symbol_reviewed;reviewed;printed_map_review
316,318,2.1,map_symbol_reviewed;reviewed;printed_map_review
330,316,2.1,map_symbol_reviewed;reviewed;printed_map_review
343,315,2.1,map_symbol_reviewed;reviewed;printed_map_review
330,343,2.1,map_symbol_reviewed;reviewed;printed_map_review
328,318,2.1,map_symbol_reviewed;reviewed;printed_map_review
319,328,2.1,map_symbol_reviewed;reviewed;printed_map_review
330,342,2.1,map_symbol_reviewed;reviewed;printed_map_review
343,342,2.1,map_symbol_reviewed;reviewed;printed_map_review
329,330,2.1,map_symbol_reviewed;reviewed;printed_map_review
342,329,2.1,map_symbol_reviewed;reviewed;printed_map_review
341,342,2.1,map_symbol_reviewed;reviewed;printed_map_review
345,343,2.1,map_symbol_reviewed;reviewed;printed_map_review
346,345,2.1,map_symbol_reviewed;reviewed;printed_map_review
396,345,2.1,map_symbol_reviewed;reviewed;printed_map_review
395,396,2.1,map_symbol_reviewed;reviewed;printed_map_review
397,345,2.1,map_symbol_reviewed;reviewed;printed_map_review
396,397,2.1,map_symbol_reviewed;reviewed;printed_map_review
399,397,2.1,map_symbol_reviewed;reviewed;printed_map_review
340,399,2.1,map_symbol_reviewed;reviewed;printed_map_review
341,340,2.1,map_symbol_reviewed;reviewed;printed_map_review
345,341,2.1,map_symbol_reviewed;reviewed;printed_map_review
339,340,2.1,map_symbol_reviewed;reviewed;printed_map_review
341,339,2.1,map_symbol_reviewed;reviewed;printed_map_review
329,339,2.1,map_symbol_reviewed;reviewed;printed_map_review
338,339,2.1,map_symbol_reviewed;reviewed;printed_map_review
340,338,2.1,map_symbol_reviewed;reviewed;printed_map_review
397,340,2.1,map_symbol_reviewed;reviewed;printed_map_review
327,329,2.1,map_symbol_reviewed;reviewed;printed_map_review
328,327,2.1,map_symbol_reviewed;reviewed;printed_map_review
320,327,2.1,map_symbol_reviewed;reviewed;printed_map_review
319,320,2.1,map_symbol_reviewed;reviewed;printed_map_review
155,319,2.1,map_symbol_reviewed;reviewed;printed_map_review
321,320,2.1,map_symbol_reviewed;reviewed;printed_map_review
150,321,2.1,map_symbol_reviewed;reviewed;printed_map_review
149,321,2.1,map_symbol_reviewed;reviewed;printed_map_review
148,149,2.1,map_symbol_reviewed;reviewed;printed_map_review
150,149,2.1,map_symbol_reviewed;reviewed;printed_map_review
325,320,2.1,map_symbol_reviewed;reviewed;printed_map_review
326,327,2.1,map_symbol_reviewed;reviewed;printed_map_review
325,331,2.1,map_symbol_reviewed;reviewed;printed_map_review
324,331,2.1,map_symbol_reviewed;reviewed;printed_map_review
325,324,2.1,map_symbol_reviewed;reviewed;printed_map_review
322,324,2.1,map_symbol_reviewed;reviewed;printed_map_review
326,331,2.1,map_symbol_reviewed;reviewed;printed_map_review
325,326,2.1,map_symbol_reviewed;reviewed;printed_map_review
333,338,2.1,map_symbol_reviewed;reviewed;printed_map_review
331,333,2.1,map_symbol_reviewed;reviewed;printed_map_review
338,331,2.1,map_symbol_reviewed;reviewed;printed_map_review
337,338,2.1,map_symbol_reviewed;reviewed;printed_map_review
333,337,2.1,map_symbol_reviewed;reviewed;printed_map_review
332,333,2.1,map_symbol_reviewed;reviewed;printed_map_review
322,332,2.1,map_symbol_reviewed;reviewed;printed_map_review
399,337,2.1,map_symbol_reviewed;reviewed;printed_map_review
398,397,2.1,map_symbol_reviewed;reviewed;printed_map_review
364,399,2.1,map_symbol_reviewed;reviewed;printed_map_review
397,364,2.1,map_symbol_reviewed;reviewed;printed_map_review
398,364,2.1,map_symbol_reviewed;reviewed;printed_map_review
396,398,2.1,map_symbol_reviewed;reviewed;printed_map_review
400,396,2.1,map_symbol_reviewed;reviewed;printed_map_review
398,400,2.1,map_symbol_reviewed;reviewed;printed_map_review
409,395,2.1,map_symbol_reviewed;reviewed;printed_map_review
400,409,2.1,map_symbol_reviewed;reviewed;printed_map_review
408,409,2.1,map_symbol_reviewed;reviewed;printed_map_review
402,409,2.1,map_symbol_reviewed;reviewed;printed_map_review
393,408,2.1,map_symbol_reviewed;reviewed;printed_map_review
391,392,2.1,map_symbol_reviewed;reviewed;printed_map_review
408,391,2.1,map_symbol_reviewed;reviewed;printed_map_review
407,391,2.1,map_symbol_reviewed;reviewed;printed_map_review
402,407,2.1,map_symbol_reviewed;reviewed;printed_map_review
408,407,2.1,map_symbol_reviewed;reviewed;printed_map_review
387,406,2.1,map_symbol_reviewed;reviewed;printed_map_review
386,387,2.1,map_symbol_reviewed;reviewed;printed_map_review
384,383,2.1,map_symbol_reviewed;reviewed;printed_map_review
386,384,2.1,map_symbol_reviewed;reviewed;printed_map_review
373,384,2.1,map_symbol_reviewed;reviewed;printed_map_review
372,384,2.1,map_symbol_reviewed;reviewed;printed_map_review
373,372,2.1,map_symbol_reviewed;reviewed;printed_map_review
371,372,2.1,map_symbol_reviewed;reviewed;printed_map_review
411,371,2.1,map_symbol_reviewed;reviewed;printed_map_review
385,384,2.1,map_symbol_reviewed;reviewed;printed_map_review
411,385,2.1,map_symbol_reviewed;reviewed;printed_map_review
405,385,2.1,map_symbol_reviewed;reviewed;printed_map_review
406,385,2.1,map_symbol_reviewed;reviewed;printed_map_review
405,406,2.1,map_symbol_reviewed;reviewed;printed_map_review
404,407,2.1,map_symbol_reviewed;reviewed;printed_map_review
406,407,2.1,map_symbol_reviewed;reviewed;printed_map_review
386,385,2.1,map_symbol_reviewed;reviewed;printed_map_review
402,401,2.1,map_symbol_reviewed;reviewed;printed_map_review
371,370,2.1,map_symbol_reviewed;reviewed;printed_map_review
411,370,2.1,map_symbol_reviewed;reviewed;printed_map_review
369,370,2.1,map_symbol_reviewed;reviewed;printed_map_review
410,370,2.1,map_symbol_reviewed;reviewed;printed_map_review
411,410,2.1,map_symbol_reviewed;reviewed;printed_map_review
405,410,2.1,map_symbol_reviewed;reviewed;printed_map_review
411,405,2.1,map_symbol_reviewed;reviewed;printed_map_review
293,42,2.1;12.2,map_symbol_reviewed
293,51,2.1;12.2,map_symbol_reviewed
293,48,2.1;12.2,map_symbol_reviewed
293,294,2.1;12.2,map_symbol_reviewed
294,292,2.1;12.2,map_symbol_reviewed
294,304,2.1;12.2,map_symbol_reviewed
294,121,2.1;12.2,map_symbol_reviewed
294,83,2.1;12.2,map_symbol_reviewed
294,95,2.1;12.2,map_symbol_reviewed
294,94,2.1;12.2,map_symbol_reviewed
287,313,2.1;12.2,map_symbol_reviewed
287,127,2.1;12.2,map_symbol_reviewed
287,134,2.1;12.2,map_symbol_reviewed
287,317,2.1;12.2,map_symbol_reviewed
287,286,2.1;12.2,map_symbol_reviewed
286,318,2.1;12.2,map_symbol_reviewed
286,319,2.1;12.2,map_symbol_reviewed
286,155,2.1;12.2,map_symbol_reviewed
286,146,2.1;12.2,map_symbol_reviewed
285,322,2.1;12.2,map_symbol_reviewed
285,148,2.1;12.2,map_symbol_reviewed
285,153,2.1;12.2,map_symbol_reviewed
133,108,2.1;12.2,map_symbol_reviewed
133,107,2.1;12.2,map_symbol_reviewed
133,136,2.1;12.2,map_symbol_reviewed
133,266,2.1;12.2,map_symbol_reviewed
278,271,2.1;12.2,map_symbol_reviewed
278,265,2.1;12.2,map_symbol_reviewed
278,299,2.1;12.2,map_symbol_reviewed
278,277,2.1;12.2,map_symbol_reviewed
278,175,2.1;12.2,map_symbol_reviewed
175,266,2.1;12.2,map_symbol_reviewed
175,257,2.1;12.2,map_symbol_reviewed
175,195,2.1;12.2,map_symbol_reviewed
403,405,2.1,map_symbol_reviewed;reviewed;printed_map_review
404,403,2.1,map_symbol_reviewed;reviewed;printed_map_review
410,403,2.1,map_symbol_reviewed;reviewed;printed_map_review
367,410,2.1,map_symbol_reviewed;reviewed;printed_map_review
366,403,2.1,map_symbol_reviewed;reviewed;printed_map_review
367,366,2.1,map_symbol_reviewed;reviewed;printed_map_review
401,403,2.1,map_symbol_reviewed;reviewed;printed_map_review
402,403,2.1,map_symbol_reviewed;reviewed;printed_map_review
401,365,2.1,map_symbol_reviewed;reviewed;printed_map_review
404,402,2.1,map_symbol_reviewed;reviewed;printed_map_review
400,401,2.1,map_symbol_reviewed;reviewed;printed_map_review
398,401,2.1,map_symbol_reviewed;reviewed;printed_map_review
364,365,2.1,map_symbol_reviewed;reviewed;printed_map_review
398,365,2.1,map_symbol_reviewed;reviewed;printed_map_review
403,365,2.1,map_symbol_reviewed;reviewed;printed_map_review
366,365,2.1,map_symbol_reviewed;reviewed;printed_map_review
362,364,2.1,map_symbol_reviewed;reviewed;printed_map_review
336,364,2.1,map_symbol_reviewed;reviewed;printed_map_review
362,336,2.1,map_symbol_reviewed;reviewed;printed_map_review
