a,b,type
98,118,regular
119,118,regular
117,118,regular
114,117,river
116,117,river
113,116,regular
115,101,regular
112,101,regular
113,112,regular
101,104,regular
109,104,regular
106,109,regular
107,106,regular
108,106,regular
302,108,regular
105,108,regular
112,108,regular
124,105,regular
112,124,regular
113,124,regular
110,124,regular
129,110,regular
124,129,regular
99,117,regular
126,99,regular
129,126,regular
122,117,regular
118,122,regular
119,120,regular
118,120,regular
97,309,river
120,309,regular
96,307,regular
309,307,river
96,97,regular
92,93,river
306,96,regular
93,306,regular
81,94,regular
93,94,river
95,90,regular
93,90,regular
306,90,river
307,306,regular
308,307,river
306,308,river
309,310,regular
308,310,regular
120,311,regular
310,311,regular
122,311,regular
123,122,regular
126,123,regular
312,311,regular
128,312,regular
125,128,regular
127,125,regular
126,125,regular
127,130,regular
129,130,regular
126,127,regular
130,132,regular
110,132,regular
105,132,regular
134,132,regular
382,90,regular
375,95,regular
382,375,regular
306,382,river
381,306,river
308,381,regular
380,308,regular
382,381,regular
379,382,regular
381,380,regular
379,381,regular
310,380,regular
352,310,regular
312,352,regular
349,352,regular
380,352,regular
351,352,regular
378,380,regular
379,374,regular
382,374,river
375,85,river
83,375,river
95,83,regular
303,83,regular
121,303,regular
85,121,regular
83,85,regular
374,85,regular
390,85,regular
121,390,regular
374,390,regular
304,121,regular
305,304,regular
388,305,regular
121,388,regular
390,388,regular
389,390,regular
376,374,regular
379,376,regular
373,383,regular
305,383,regular
388,383,regular
386,388,regular
387,388,regular
389,387,regular
391,389,regular
392,389,regular
376,392,regular
377,378,river
376,377,regular
351,378,regular
350,351,regular
349,348,regular
100,349,regular
128,100,regular
313,100,regular
125,313,regular
348,313,regular
314,348,regular
313,314,regular
347,348,regular
350,348,regular
347,350,regular
377,393,river
392,393,river
394,393,regular
350,394,river
395,394,regular
346,395,regular
347,346,river
344,346,river
347,344,regular
314,344,regular
315,314,regular
343,344,regular
315,316,river
315,330,river
317,316,regular
318,317,regular
316,318,regular
330,316,regular
343,315,regular
330,343,river
328,318,river
319,328,regular
330,342,regular
343,342,river
329,330,river
342,329,regular
341,342,regular
345,343,river
346,345,regular
396,345,regular
395,396,regular
397,345,river
396,397,river
399,397,regular
340,399,river
341,340,regular
345,341,regular
339,340,regular
341,339,regular
329,339,regular
338,339,regular
340,338,regular
397,340,river
327,329,regular
328,327,regular
320,327,regular
319,320,regular
155,319,regular
321,320,regular
150,321,regular
149,321,river
148,149,regular
150,149,regular
325,320,regular
326,327,regular
325,331,regular
324,331,regular
325,324,regular
322,324,river
326,331,regular
325,326,regular
333,338,river
331,333,regular
338,331,river
337,338,river
333,337,regular
332,333,river
322,332,regular
399,337,regular
398,397,regular
364,399,regular
397,364,regular
398,364,regular
396,398,regular
400,396,regular
398,400,regular
409,395,regular
400,409,regular
408,409,regular
402,409,regular
393,408,regular
391,392,regular
408,391,regular
407,391,regular
402,407,regular
408,407,regular
387,406,regular
386,387,regular
384,383,regular
386,384,regular
373,384,regular
372,384,regular
373,372,sr
371,372,regular
411,371,regular
385,384,regular
411,385,regular
405,385,regular
406,385,regular
405,406,regular
404,407,regular
406,407,regular
386,385,regular
402,401,regular
371,370,regular
411,370,regular
369,370,regular
410,370,regular
411,410,regular
405,410,regular
411,405,regular
293,42,sr
293,51,sr
294,292,sr
294,304,sr
294,83,sr
294,95,sr
294,94,sr
287,313,sr
287,127,sr
287,134,sr
287,317,sr
287,286,sr
286,319,sr
286,146,sr
285,322,sr
285,153,sr
133,107,sr
133,136,sr
133,266,sr
278,271,sr
278,265,sr
278,299,sr
278,277,sr
175,266,sr
175,257,sr
175,195,sr
403,405,regular
404,403,regular
410,403,regular
367,410,regular
366,403,regular
367,366,regular
401,403,river
402,403,regular
401,365,regular
404,402,regular
400,401,regular
398,401,regular
364,365,regular
398,365,regular
403,365,river
366,365,river
362,364,regular
336,364,regular
362,336,regular
337,336,regular
365,362,regular
363,366,river
367,363,river
362,363,river
369,368,regular
360,368,regular
359,368,regular
360,363,regular
361,363,river
360,361,river
357,361,river
360,357,regular
359,360,regular
358,359,regular
353,358,regular
353,357,regular
354,357,regular
353,354,regular
356,361,river
362,361,regular
356,362,river
354,355,regular
357,356,regular
355,356,regular
335,356,regular
355,335,regular
334,356,regular
335,334,regular
336,334,river
333,334,river
332,334,regular
323,335,regular
279,267,regular
280,268,regular
267,268,regular
269,268,regular
270,269,regular
272,269,regular
270,272,regular
275,272,regular
273,272,regular
271,273,regular
270,271,regular
274,273,regular
275,274,regular
276,274,regular
265,276,regular
191,265,regular
264,265,regular
191,264,regular
263,191,regular
264,263,regular
262,263,regular
261,262,regular
260,261,regular
255,261,regular
254,260,regular
256,254,regular
255,256,regular
258,255,regular
256,258,regular
180,258,regular
256,257,regular
180,257,regular
157,180,regular
182,258,regular
180,182,regular
157,182,regular
256,180,regular
179,157,regular
196,179,regular
195,196,regular
193,195,river
192,193,river
194,193,river
195,194,regular
192,188,regular
194,188,regular
187,188,regular
177,187,regular
174,187,regular
173,177,regular
174,173,regular
190,177,regular
173,190,regular
412,173,regular
412,174,regular
166,412,regular
176,412,regular
166,176,regular
184,181,regular
184,183,regular
178,171,regular
181,171,regular
178,183,regular
167,178,river
168,178,river
171,170,regular
178,172,regular
158,172,regular
170,158,regular
185,170,regular
171,158,regular
169,168,regular
172,169,regular
166,169,regular
161,169,regular
176,161,regular
165,176,regular
161,162,regular
165,162,regular
144,161,regular
160,161,regular
169,160,regular
158,159,regular
160,159,regular
156,160,regular
147,154,regular
156,147,regular
158,154,regular
153,185,regular
152,153,regular
151,152,regular
148,153,regular
150,151,regular
155,146,regular
151,146,regular
147,151,regular
146,145,regular
144,145,regular
141,144,regular
140,145,regular
141,140,regular
162,141,regular
163,141,regular
140,139,regular
143,140,regular
139,143,regular
163,139,regular
165,163,regular
164,165,regular
189,165,regular
186,189,regular
164,138,regular
139,138,regular
137,138,regular
142,138,regular
134,142,regular
143,142,regular
135,142,regular
138,135,regular
136,137,regular
135,136,regular
137,186,regular
144,156,regular
166,167,regular
190,167,regular
178,181,regular
292,82,regular
291,292,regular
290,291,regular
33,38,regular
18,288,regular
33,288,regular
31,288,regular
42,31,regular
288,289,regular
33,289,regular
290,33,regular
42,289,regular
50,42,regular
82,50,regular
9,24,regular
9,20,regular
20,25,regular
294,303,sr
285,323,sr
286,328,sr
60,72,regular
57,87,regular
90,375,regular
377,392,regular
404,405,regular
68,71,regular
402,408,regular
123,128,regular
340,342,regular
94,95,regular
74,111,regular
164,186,regular
46,54,regular
99,129,river
192,194,river
100,348,regular
286,317,sr
133,134,sr
51,294,sr
