id,side,num,ops,remove,cc,dual,dual_condition,rp_ge,rp_axis,rp_br,rp_usa,rp_su,name,name_zh
81,axis,26,5,true,false,false,,4,2,,,,Totaler Krieg!,总体战！
82,axis,27,3,true,false,false,,2,1,,,,Fall Zitadelle,堡垒行动
83,axis,28,2,true,false,true,,2,0,,,,Skorzeny,斯科尔兹内
84,axis,29,2,false,false,false,,2,0,,,,FW-190,FW-190
85,axis,30,2,false,true,false,,2,0,,,,Kesselring,凯塞林
86,axis,31,4,true,false,true,,3,1,,,,Achse,轴心行动
87,axis,32,5,true,false,false,,4,2,,,,German Reinforcements,德国增援
88,axis,33,5,true,false,false,,4,2,,,,German Reinforcements,德国增援
89,axis,34,5,true,false,false,,4,2,,,,German Reinforcements,德国增援
90,axis,35,5,true,false,false,,4,2,,,,German Reinforcements,德国增援
91,axis,36,5,true,false,false,,4,2,,,,German Reinforcements,德国增援
92,axis,37,4,true,false,false,,3,1,,,,German Reinforcements,德国增援
93,axis,38,3,true,false,false,,2,1,,,,Atlantic Wall,大西洋壁垒
94,axis,39,5,true,false,false,,4,2,,,,East Wall,东方壁垒
95,axis,40,3,false,false,false,,2,1,,,,Anti-Partisan Sweep,反游击队扫荡
96,axis,41,3,false,true,false,,2,1,,,,Panther,黑豹
97,axis,42,3,false,true,false,,2,1,,,,Tiger,虎式
98,axis,43,3,true,true,false,,2,1,,,,Panzerfaust,铁拳
99,axis,44,2,true,true,false,,2,0,,,,Volkssturm,国民突击队
100,axis,45,4,true,false,false,,3,1,,,,Vergeltungs-Waffe,报复武器
101,axis,46,3,true,false,true,,2,1,,,,Manstein,曼施坦因
102,axis,47,2,false,true,false,,2,0,,,,Model,莫德尔
103,axis,48,2,false,true,false,,2,0,,,,Heinrici,海因里希
104,axis,49,2,true,true,false,,2,0,,,,Weichs,魏克斯
105,axis,50,4,true,false,true,,3,1,,,,Foreign Armies East,东方外军处
106,axis,51,2,false,false,false,,2,0,,,,Anti-Partisan Sweep,反游击队扫荡
107,axis,52,4,true,false,false,,3,1,,,,Final Production Surge,最后生产冲刺
108,axis,53,4,true,false,true,,3,1,,,,Wacht am Rhein,守望莱茵
109,axis,54,2,true,false,false,,2,0,,,,The Bunker,地堡
110,axis,55,3,true,false,false,,2,1,,,,National Redoubt,国家堡垒
